dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
er8,FGS,0.0872077941894531,10,0.2,0.5,0.1667,0.7,0.4375,0.5385,11.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0039_seed_2065.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0940430164337158,10,0.7,0.1875,0.5833,0.2,0.125,0.1538,21.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0040_seed_2066.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0822904109954834,8,0.625,0.1875,0.4167,0.25,0.125,0.1667,18.0,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0041_seed_2067.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0927345752716064,15,0.5333,0.4375,0.6667,0.3333,0.3125,0.3226,19.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0042_seed_2068.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0804760456085205,10,0.5,0.3125,0.4167,0.5,0.3125,0.3846,17.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0043_seed_2069.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0784516334533691,7,0.2857,0.3125,0.1667,0.2857,0.125,0.1739,14.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0044_seed_2070.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0793952941894531,9,0.6667,0.1875,0.5,0.2222,0.125,0.16,20.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0045_seed_2071.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0840120315551757,11,0.7273,0.1875,0.6667,0.2727,0.1875,0.2222,19.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0046_seed_2072.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0836827754974365,12,0.25,0.5625,0.25,0.5833,0.4375,0.5,15.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0047_seed_2073.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0785498619079589,9,0.5556,0.25,0.4167,0.3333,0.1875,0.24,17.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0048_seed_2074.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.09112834930419922,13,0.2308,0.625,0.25,0.3077,0.25,0.2759,13.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0049_seed_2075.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
