nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,refined_indep_facts,arrows_sum,0.018625736236572266,0.0004754066467285156,1,"frozenset({(3, 0)})",0.500558653027535
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,refined_indep_facts,arrows_mean,0.018625736236572266,0.0004687309265136719,1,"frozenset({(3, 0)})",0.500558653027535
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,original,original,0.22871041297912598,0.18447566032409668,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",21.531151773659246
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,original,refined_indep_facts,0.22871041297912598,0.07794332504272461,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.1083928110474752
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,6.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,original,arrows_sum,0.22871041297912598,0.004584074020385742,8,"frozenset({(2, 4), (4, 0), (2, 1), (3, 4), (2, 0), (1, 4), (3, 0), (1, 0)})",4.0104127362706725
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,14.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,original,arrows_mean,0.22871041297912598,0.0043447017669677734,5,"frozenset({(4, 0), (4, 3), (2, 0), (3, 0), (1, 0)})",0.5020824924537424
2,1.0,0.0,0.3333,0.0,0.0,,4.0,15.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,refined_indep_facts,original,0.024527788162231445,0.023830413818359375,2,"frozenset({(4, 0), (0, 3)})",7.036989713003441
2,1.0,0.0,0.3333,0.0,0.0,,4.0,15.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,refined_indep_facts,refined_indep_facts,0.024527788162231445,0.01102137565612793,2,"frozenset({(4, 0), (0, 3)})",3.8689198056269896
2,1.0,0.0,0.3333,0.0,0.0,,4.0,15.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,refined_indep_facts,arrows_sum,0.024527788162231445,0.0006930828094482422,2,"frozenset({(4, 0), (0, 3)})",0.9999997081856659
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,7977,5,0.14286494255065918,1.2078588008880615,True,refined_indep_facts,arrows_mean,0.024527788162231445,0.0007002353668212891,1,"frozenset({(2, 0)})",0.5026054902552142
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,original,original,0.0795755386352539,0.006011009216308594,3,"frozenset({(1, 0), (4, 0), (0, 3)})",12.410144358776307
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,original,refined_indep_facts,0.0795755386352539,0.0016698837280273438,3,"frozenset({(1, 0), (4, 0), (0, 3)})",2.8073898535488584
