dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
survey,FGS,359,0.10475468635559082,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,9096,0.10790228843688965,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,19.0,25.0
survey,FGS,3533,0.1024470329284668,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,4125,0.10737824440002441,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,19.0,25.0
survey,FGS,3094,0.10553455352783203,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,6398,0.1009361743927002,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
asia,FGS,7816,0.12438654899597168,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,3578,0.12152099609375,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2656,0.1467876434326172,9,0.7778,0.25,0.35,0.2222,0.25,0.2353,13.0,30.0,40.0
asia,FGS,2688,0.12119650840759277,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2494,0.12343072891235352,8,0.625,0.375,0.25,0.25,0.25,0.25,11.0,22.0,38.0
asia,FGS,183,0.12184882164001465,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,7977,0.12270832061767578,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,3199,0.12159585952758789,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,316,0.12490129470825195,9,0.7778,0.25,0.35,0.2222,0.25,0.2353,13.0,30.0,38.0
asia,FGS,8266,0.1238257884979248,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,1532,0.12101459503173828,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,1009,0.14307713508605957,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2250,0.12276959419250488,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,4447,0.12093067169189453,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2415,0.12197542190551758,8,0.75,0.25,0.3,0.25,0.25,0.25,13.0,39.0,49.0
asia,FGS,3595,0.12051057815551758,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,4187,0.12192988395690918,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,4135,0.12204432487487793,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,5174,0.1251964569091797,10,0.8,0.25,0.4,0.1,0.125,0.1111,14.0,17.0,42.0
asia,FGS,5303,0.11985325813293457,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,3942,0.14717721939086914,9,0.7778,0.25,0.35,0.1111,0.125,0.1176,13.0,17.0,42.0
asia,FGS,2778,0.12295651435852051,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,2804,0.12030673027038574,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2145,0.12157273292541504,9,0.7778,0.25,0.35,0.1111,0.125,0.1176,13.0,17.0,42.0
asia,FGS,150,0.1208798885345459,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,8823,0.12115311622619629,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,4669,0.1206667423248291,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,6131,0.12221336364746094,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2617,0.11758637428283691,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,7166,0.12288236618041992,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,1428,0.14894843101501465,8,0.625,0.375,0.25,0.25,0.25,0.25,11.0,27.0,43.0
asia,FGS,8328,0.12007713317871094,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,8289,0.12134790420532227,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,5978,0.11813044548034668,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,5511,0.12191653251647949,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,5864,0.12346148490905762,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,606,0.12445235252380371,9,0.8889,0.125,0.4,0.1111,0.125,0.1176,15.0,31.0,39.0
asia,FGS,1933,0.12303876876831055,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,6071,0.12246322631835938,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,5504,0.11953544616699219,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,5163,0.14893078804016113,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,2406,0.12062716484069824,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,304,0.12258505821228027,9,0.7778,0.25,0.35,0.2222,0.25,0.2353,13.0,31.0,41.0
asia,FGS,3391,0.12021183967590332,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,359,0.13815569877624512,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,9096,0.12192773818969727,8,0.75,0.25,0.3,0.25,0.25,0.25,12.0,33.0,41.0
asia,FGS,3533,0.12516450881958008,7,0.5714,0.375,0.2,0.2857,0.25,0.2667,9.0,19.0,26.0
asia,FGS,4125,0.12235879898071289,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,3094,0.12208008766174316,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
asia,FGS,6398,0.1506948471069336,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,12.0,35.0,43.0
sachs,FGS,7816,0.1533966064453125,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,25.0,41.0,52.0
sachs,FGS,3578,0.14966678619384766,15,0.8,0.1765,0.3158,0.1333,0.1176,0.125,25.0,42.0,45.0
