nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,n_nodes,n_edges,seed,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,original,arrows_mean,0.049655914306640625,0.00041961669921875,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,refined_indep_facts,original,0.008478403091430664,0.028464078903198242,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.499900023365157
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,refined_indep_facts,refined_indep_facts,0.008478403091430664,0.01156306266784668,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,refined_indep_facts,arrows_sum,0.008478403091430664,0.0019135475158691406,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,1.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,refined_indep_facts,arrows_mean,0.008478403091430664,0.001245260238647461,2,"frozenset({(1, 2), (2, 0)})",0.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,4447,0.005568265914916992,0.016391992568969727,True,original,original,0.01224970817565918,0.004729509353637695,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.495874242502458
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,4447,0.005568265914916992,0.016391992568969727,True,original,refined_indep_facts,0.01224970817565918,0.003027200698852539,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,4447,0.005568265914916992,0.016391992568969727,True,original,arrows_sum,0.01224970817565918,0.0009086132049560547,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,4447,0.005568265914916992,0.016391992568969727,True,original,arrows_mean,0.01224970817565918,0.0003960132598876953,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,4447,0.005568265914916992,0.016391992568969727,True,refined_indep_facts,original,0.008095264434814453,0.017536163330078125,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.495874242502458
