dataset,num_nodes,num_edges,impl,run_id,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
survey,6,6,new,23,2.6526510810945183,44,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,13.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,14.0
survey,6,6,new,24,0.7568144829710945,11,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4.0,18.0,5,0.2,0.6667,0.1111,0.6,0.5,0.5455,6.0,17.0,24.0
survey,6,6,new,25,1.721288962988183,9,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,12.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,12.0,17.0
survey,6,6,new,26,2.648538061999716,45,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,15.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5.0,9.0,27.0
survey,6,6,new,27,1.44217086606659,28,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,3.0,16.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5.0,11.0,17.0
survey,6,6,new,28,1.7111220660153776,23,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0
survey,6,6,new,29,1.4791235199663788,24,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,14.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,14.0,14.0
survey,6,6,new,30,1.833356091985479,18,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,13.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,6.0,10.0,14.0
survey,6,6,new,31,3.1512250050436705,30,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,14.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,14.0,14.0
survey,6,6,new,32,1.2708972089458257,21,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,7.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,3.0,7.0,14.0
survey,6,6,new,33,1.5686845610616729,23,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,15.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,15.0,16.0
survey,6,6,new,34,3.0988625979516655,34,8,1.0,0.0,0.8889,0.0,0.0,,9.0,28.0,8,0.625,0.5,0.5556,0.375,0.5,0.4286,8.0,16.0,29.0
survey,6,6,new,35,0.6052118989173323,13,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,6.0,19.0,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,6.0,18.0,19.0
survey,6,6,new,36,2.2385189950000495,23,8,0.625,0.5,0.5556,0.375,0.5,0.4286,5.0,19.0,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,5.0,13.0,19.0
survey,6,6,new,37,1.3028626040322706,20,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,8.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,8.0,14.0
survey,6,6,new,38,2.4562921640463173,23,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,13.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,8.0,7.0,13.0
survey,6,6,new,39,2.5432110390393063,25,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,5.0,23.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,5.0,16.0,23.0
survey,6,6,new,40,2.9201983399689198,33,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4.0,17.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4.0,16.0,17.0
survey,6,6,new,41,2.149214979959652,28,7,0.7143,0.3333,0.5556,0.2857,0.3333,0.3077,5.0,21.0,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,7.0,15.0,21.0
survey,6,6,new,42,2.766989612020552,23,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,5.0,16.0,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,5.0,10.0,27.0
survey,6,6,new,43,1.409119831980206,13,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,4.0,13.0,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,4.0,13.0,13.0
survey,6,6,new,44,3.695774374064058,42,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,6.0,14.0,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,6.0,9.0,22.0
survey,6,6,new,45,1.9125833120197058,24,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,5.0,17.0,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,17.0,18.0
survey,6,6,new,46,1.6267909820890054,23,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,10.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,4.0,28.0
survey,6,6,new,47,2.3761725410586223,34,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,7.0,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,7.0,13.0
survey,6,6,new,48,2.122342957998626,26,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0
survey,6,6,new,49,0.7834162140497938,18,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,5.0,19.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,5.0,18.0,19.0
cancer,5,4,org,0,1.3815751619404182,9,5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
cancer,5,4,org,1,0.29841249505989254,6,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,2,0.9303010139847174,8,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,3,0.6391544620273635,8,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0
cancer,5,4,org,4,0.37655471498146653,8,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,5,0.18478191597387195,5,3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0
cancer,5,4,org,6,0.5889763740124181,10,5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,10.0,5,0.4,0.75,0.3333,0.4,0.5,0.4444,3.0,5.0,15.0
cancer,5,4,org,7,0.23603832896333188,5,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,8,0.8436166390310973,10,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,9,0.2489030690630898,6,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,5,4,org,10,0.24978999700397253,6,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
