dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
survey,6,6,new,2494,0.35811364371329546,43,6.0,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,6.0,6.0,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,3.0,6.0,14.0,0.9268512745134931,0.9459459459459459,0.6363636363636364,0.7608695652173914
survey,6,6,new,183,0.22791153425350785,31,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.8844017022044166,0.7916666666666666,0.6129032258064516,0.6909090909090909
survey,6,6,new,7977,0.3762726499699056,39,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0,0.9504568207127915,0.975609756097561,0.7272727272727273,0.8333333333333334
survey,6,6,new,3199,0.17502579605206847,31,3.0,0.5,0.25,0.16665000000000002,0.5,0.25,0.33330000000000004,4.5,17.5,3.0,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,17.0,18.0,0.9182592334463597,1.0,0.2631578947368421,0.4166666666666667
survey,6,6,new,316,0.2429776219651103,33,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9030168570407198,0.8709677419354839,0.627906976744186,0.7297297297297297
survey,6,6,new,8266,0.20947186183184385,24,5.0,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,7.0,5.0,0.2,0.6667,0.1111,0.8,0.6667,0.7273,5.0,7.0,21.0,0.9487163997631979,0.9545454545454546,0.75,0.84
survey,6,6,new,1532,0.33487766794860363,42,6.0,0.41664999999999996,0.58335,0.27775,0.58335,0.58335,0.58335,2.5,13.5,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,14.0,0.9454490415002983,1.0,0.6774193548387096,0.8076923076923077
survey,6,6,new,1009,0.1728290249593556,29,4.0,0.625,0.25,0.27775,0.375,0.25,0.30000000000000004,4.5,18.5,4.0,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.0,18.0,19.0,0.8950685805530199,0.9333333333333333,0.5384615384615384,0.6829268292682926
survey,6,6,new,2250,0.09788416884839535,18,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,3.0,11.0,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,11.0,17.0,0.8328008021390374,1.0,0.4,0.5714285714285715
survey,6,6,new,4447,0.30512368585914373,39,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0,0.9382860122685193,0.975609756097561,0.7272727272727273,0.8333333333333334
