dataset,alpha,seed,version,facts_total,true_fact_count,false_fact_count,true_indep_count,false_indep_count,true_dep_count,false_dep_count,indep_pair_count,wrong_block_pair_count,correct_block_pair_count,contradictory_pair_count,wrong_block_pairs,correct_block_pairs
sachs,alpha005,2494,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1005,991,14,77,7,914,7,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,2656,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1033,1014,19,79,4,935,15,38,0,38,16,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,2688,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1019,1003,16,95,9,908,7,38,0,38,17,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,3199,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,966,951,15,70,10,881,5,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,3578,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1007,988,19,74,8,914,11,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,7816,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1015,989,26,75,7,914,19,38,0,38,16,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,7977,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,948,934,14,71,10,863,4,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,8266,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1043,1018,25,89,11,929,14,37,0,37,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,183,bnlearn_abapc_nor_matched10_others_gsq_alpha001,948,939,9,74,8,865,1,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha001,316,bnlearn_abapc_nor_matched10_others_gsq_alpha001,966,952,14,73,12,879,2,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
