dataset,seed,alpha_old,alpha_new,old_only_count,new_only_count,old_only_true_count,old_only_false_count,new_only_true_count,new_only_false_count,old_only_true_indep_count,old_only_false_indep_count,old_only_true_dep_count,old_only_false_dep_count,new_only_true_indep_count,new_only_false_indep_count,new_only_true_dep_count,new_only_false_dep_count,facts_total_old,facts_total_new,delta_facts_total,true_fact_count_old,true_fact_count_new,delta_true_fact_count,false_fact_count_old,false_fact_count_new,delta_false_fact_count,true_indep_count_old,true_indep_count_new,delta_true_indep_count,false_indep_count_old,false_indep_count_new,delta_false_indep_count,true_dep_count_old,true_dep_count_new,delta_true_dep_count,false_dep_count_old,false_dep_count_new,delta_false_dep_count,indep_pair_count_old,indep_pair_count_new,delta_indep_pair_count,wrong_block_pair_count_old,wrong_block_pair_count_new,delta_wrong_block_pair_count,correct_block_pair_count_old,correct_block_pair_count_new,delta_correct_block_pair_count,contradictory_pair_count_old,contradictory_pair_count_new,delta_contradictory_pair_count
sachs,316,alpha005,alpha001,96,14,77,19,5,9,9,11,68,8,5,9,0,0,1048,966,-82.0,1024,952,-72.0,24,14,-10.0,77,73,-4.0,14,12,-2.0,947,879,-68.0,10,2,-8.0,38,38,0.0,0,0,0.0,38,38,0.0,15,14,-1.0
sachs,2494,alpha005,alpha001,48,9,40,8,4,5,7,2,33,6,4,5,0,0,1005,966,-39.0,991,955,-36.0,14,11,-3.0,77,74,-3.0,7,10,3.0,914,881,-33.0,7,1,-6.0,38,38,0.0,0,0,0.0,38,38,0.0,15,14,-1.0
sachs,2656,alpha005,alpha001,32,14,26,6,5,9,8,0,18,6,5,9,0,0,1033,1015,-18.0,1014,993,-21.0,19,22,3.0,79,76,-3.0,4,13,9.0,935,917,-18.0,15,9,-6.0,38,38,0.0,0,0,0.0,38,38,0.0,16,15,-1.0
sachs,2688,alpha005,alpha001,60,7,53,7,5,2,25,0,28,7,5,2,0,0,1019,966,-53.0,1003,955,-48.0,16,11,-5.0,95,75,-20.0,9,11,2.0,908,880,-28.0,7,0,-7.0,38,38,0.0,0,0,0.0,38,38,0.0,17,14,-3.0
sachs,3199,alpha005,alpha001,44,7,38,6,4,3,0,2,38,4,4,3,0,0,966,929,-37.0,951,917,-34.0,15,12,-3.0,70,74,4.0,10,11,1.0,881,843,-38.0,5,1,-4.0,38,38,0.0,0,0,0.0,38,38,0.0,14,14,0.0
sachs,3578,alpha005,alpha001,23,6,17,6,5,1,0,1,17,5,5,1,0,0,1007,990,-17.0,988,976,-12.0,19,14,-5.0,74,79,5.0,8,8,0.0,914,897,-17.0,11,6,-5.0,38,38,0.0,0,0,0.0,38,38,0.0,15,15,0.0
sachs,7816,alpha005,alpha001,36,11,26,10,5,6,4,0,22,10,5,6,0,0,1015,990,-25.0,989,968,-21.0,26,22,-4.0,75,76,1.0,7,13,6.0,914,892,-22.0,19,9,-10.0,38,38,0.0,0,0,0.0,38,38,0.0,16,15,-1.0
sachs,7977,alpha005,alpha001,11,11,7,4,4,7,0,0,7,4,4,7,0,0,948,948,0.0,934,931,-3.0,14,17,3.0,71,75,4.0,10,17,7.0,863,856,-7.0,4,0,-4.0,38,38,0.0,0,0,0.0,38,38,0.0,14,14,0.0
sachs,8266,alpha005,alpha001,48,12,37,11,7,5,16,2,21,9,7,5,0,0,1043,1007,-36.0,1018,988,-30.0,25,19,-6.0,89,80,-9.0,11,14,3.0,929,908,-21.0,14,5,-9.0,37,38,1.0,0,0,0.0,37,38,1.0,15,15,0.0
child,183,alpha005,alpha001,1195,233,895,300,75,158,107,203,788,97,75,158,0,0,6574,5612,-962.0,5971,5151,-820.0,603,461,-142.0,778,746,-32.0,433,388,-45.0,5193,4405,-788.0,170,73,-97.0,165,166,1.0,0,1,1.0,165,165,0.0,136,123,-13.0
child,316,alpha005,alpha001,665,255,445,220,65,190,21,153,424,67,65,190,0,0,6317,5907,-410.0,5772,5392,-380.0,545,515,-30.0,800,844,44.0,422,459,37.0,4972,4548,-424.0,123,56,-67.0,165,165,0.0,0,0,0.0,165,165,0.0,131,113,-18.0
child,2494,alpha005,alpha001,659,253,388,271,91,162,24,176,364,95,91,162,0,0,6462,6056,-406.0,5790,5493,-297.0,672,563,-109.0,743,810,67.0,477,463,-14.0,5047,4683,-364.0,195,100,-95.0,165,165,0.0,0,0,0.0,165,165,0.0,136,120,-16.0
child,2656,alpha005,alpha001,1796,223,1412,384,68,155,227,222,1185,162,68,155,0,0,6606,5033,-1573.0,5936,4592,-1344.0,670,441,-229.0,736,577,-159.0,469,402,-67.0,5200,4015,-1185.0,201,39,-162.0,165,166,1.0,0,1,1.0,165,165,0.0,133,117,-16.0
child,2688,alpha005,alpha001,743,253,544,199,80,173,11,117,533,82,80,173,0,0,6393,5903,-490.0,5864,5400,-464.0,529,503,-26.0,768,837,69.0,385,441,56.0,5096,4563,-533.0,144,62,-82.0,165,165,0.0,0,0,0.0,165,165,0.0,123,115,-8.0
child,3199,alpha005,alpha001,1720,213,1426,294,38,175,257,193,1169,101,38,175,0,0,6557,5050,-1507.0,5955,4567,-1388.0,602,483,-119.0,818,599,-219.0,484,466,-18.0,5137,3968,-1169.0,118,17,-101.0,165,166,1.0,0,1,1.0,165,165,0.0,132,119,-13.0
child,3578,alpha005,alpha001,624,257,453,171,69,188,17,101,436,70,69,188,0,0,6124,5757,-367.0,5556,5172,-384.0,568,585,17.0,802,854,52.0,449,536,87.0,4754,4318,-436.0,119,49,-70.0,165,165,0.0,0,0,0.0,165,165,0.0,131,120,-11.0
child,7816,alpha005,alpha001,683,263,464,219,103,160,26,108,438,111,103,160,0,0,6359,5939,-420.0,5762,5401,-361.0,597,538,-59.0,738,815,77.0,404,456,52.0,5024,4586,-438.0,193,82,-111.0,165,165,0.0,0,0,0.0,165,165,0.0,129,115,-14.0
child,7977,alpha005,alpha001,672,253,443,229,92,161,50,126,393,103,92,161,0,0,6338,5919,-419.0,5771,5420,-351.0,567,499,-68.0,803,845,42.0,406,441,35.0,4968,4575,-393.0,161,58,-103.0,164,165,1.0,0,0,0.0,164,165,1.0,126,116,-10.0
child,8266,alpha005,alpha001,687,315,462,225,83,232,25,141,437,84,83,232,0,0,6741,6369,-372.0,6165,5786,-379.0,576,583,7.0,789,847,58.0,415,506,91.0,5376,4939,-437.0,161,77,-84.0,165,165,0.0,0,0,0.0,165,165,0.0,137,126,-11.0
