dataset,alpha,method,seed,version,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported,block_edge_mode
cancer,alpha001,ABAPC (bb),3578,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,6,31,1,5,30,1,1,5,0,0,3,1,27,0,3,1,2,0,0,0.6667,2.0,4.0,0.6667,2.0,4.0,14.0,0.29626011848449707,6,2,dynamic
cancer,alpha001,ABAPC (bb),7816,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,9,35,4,5,34,1,4,5,0,0,2,1,32,0,3,0,3,0,0,0.6667,2.0,4.0,0.6667,2.0,4.0,14.0,0.2680625915527344,9,3,dynamic
cancer,alpha001,ABAPC (bb),7977,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,9,28,4,5,28,0,3,5,1,0,1,0,27,0,6,1,5,0,0,0.4,4.0,9.0,0.4,4.0,5.0,15.0,0.24051737785339355,9,4,dynamic
cancer,alpha001,ABAPC (bb),8266,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,11,33,5,6,33,0,5,6,0,0,1,0,32,0,5,0,5,0,0,0.1818,6.0,12.0,0.3636,5.0,5.0,19.0,0.2590925693511963,11,5,dynamic
cancer,alpha001,ABAPC (bb-nor),183,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,6,16,2,4,14,2,2,4,0,0,2,2,12,0,3,1,2,0,1,0.5714,2.0,6.0,0.5714,2.0,6.0,11.0,0.19176054000854492,6,3,frozen_initial
cancer,alpha001,ABAPC (bb-nor),316,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,13,15,6,7,15,0,4,7,2,0,0,0,15,0,7,1,6,0,1,0.5714,2.0,6.0,0.5714,2.0,1.0,11.0,0.21752452850341797,13,7,frozen_initial
cancer,alpha001,ABAPC (bb-nor),2494,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,10,34,4,6,34,0,4,6,0,0,2,0,32,0,4,0,4,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.3030834197998047,10,4,frozen_initial
cancer,alpha001,ABAPC (bb-nor),2656,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,4,18,3,1,13,5,3,1,0,0,1,5,12,0,1,1,0,0,1,0.2857,3.0,11.0,0.2857,3.0,11.0,11.0,0.25829625129699707,4,1,frozen_initial
cancer,alpha001,ABAPC (bb-nor),2688,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,12,16,6,6,16,0,3,6,3,0,1,0,15,0,6,1,5,0,1,0.5714,2.0,6.0,0.5714,2.0,1.0,11.0,0.35780811309814453,12,6,frozen_initial
cancer,alpha001,ABAPC (bb-nor),3199,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,4,18,1,3,15,3,1,3,0,0,3,3,12,0,1,1,0,0,1,0.0,4.0,16.0,0.0,4.0,11.0,16.0,0.21746206283569336,4,1,frozen_initial
cancer,alpha001,ABAPC (bb-nor),3578,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,16,21,10,6,21,0,4,6,6,0,0,0,21,0,7,1,6,0,1,0.5714,2.0,6.0,0.5714,2.0,1.0,11.0,0.24912118911743164,16,7,frozen_initial
cancer,alpha001,ABAPC (bb-nor),7816,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,9,35,4,5,34,1,4,5,0,0,2,1,32,0,3,0,3,0,0,0.75,1.0,5.0,0.75,1.0,5.0,10.0,0.21999263763427734,9,3,frozen_initial
cancer,alpha001,ABAPC (bb-nor),7977,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,16,21,11,5,21,0,4,5,7,0,0,0,21,0,7,1,6,0,1,0.2857,3.0,11.0,0.5714,2.0,1.0,11.0,0.2174515724182129,16,7,frozen_initial
