dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
asia,8,8,org,1933,0.2541880179196596,129,6.0,0.1667,0.625,0.05,0.8333,0.625,0.7143,3.0,18.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.972916398768384,1.0,0.0333333333333333,0.064516129032258,asia,,,,,,,,
asia,8,8,org,6071,0.3158847852610051,146,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.97645378426717,1.0,0.0227272727272727,0.0444444444444444,asia,,,,,,,,
asia,8,8,org,5504,0.3261492387391627,161,5.0,0.4000000000000001,0.375,0.1,0.6,0.375,0.4615333333333333,5.0,27.666666666666668,5.0,0.0,0.625,0.0,0.2,0.125,0.1538,6.0,22.0,37.0,0.976257796956143,0.5,0.006578947368421,0.0129870129870129,asia,,,,,,,,
asia,8,8,org,5163,0.2864213697612285,142,4.0,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,16.0,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9747294873695715,1.0,0.0155038759689922,0.0305343511450381,asia,,,,,,,,
asia,8,8,org,2406,0.2876744158565998,143,4.0,0.5,0.25,0.1,0.5,0.25,0.3333,6.0,31.0,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9766019414751492,1.0,0.0227272727272727,0.0444444444444444,asia,,,,,,,,
asia,8,8,org,304,0.3042708239518106,148,6.0,0.1667,0.625,0.05,0.8333,0.625,0.7143,3.0,19.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9745483669811308,1.0,0.0214285714285714,0.0419580419580419,asia,,,,,,,,
asia,8,8,org,3391,0.3430260294117033,173,5.0,0.2,0.5,0.05,0.8,0.5,0.615375,4.0,20.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.974329791559835,1.0,0.0189873417721519,0.0372670807453416,asia,,,,,,,,
asia,8,8,org,359,0.270773138385266,134,6.0,0.1667,0.625,0.05,0.8333,0.625,0.7143,3.0,18.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9731891242177104,1.0,0.0317460317460317,0.0615384615384615,asia,,,,,,,,
asia,8,8,org,9096,0.2742925682105124,137,4.0,0.1666666666666666,0.4166666666666667,0.0333333333333333,0.8333333333333334,0.4166666666666667,0.5555666666666667,4.666666666666667,20.666666666666668,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9745030363063,1.0,0.0238095238095238,0.0465116279069767,asia,,,,,,,,
asia,8,8,org,3533,0.2435723738744855,121,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9723647754068142,1.0,0.027027027027027,0.0526315789473684,asia,,,,,,,,
