n_nodes,n_edges,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
5,5,FGS,1933,0.10235261917114258,4,0.5,0.4,0.4,0.5,0.4,0.4444,5.0,6.0,15.0
5,5,FGS,6071,0.10425949096679688,5,0.2,0.8,0.2,0.4,0.4,0.4,3.0,2.0,17.0
5,5,FGS,5504,0.10716390609741211,6,0.5,0.6,0.6,0.5,0.6,0.5455,4.0,12.0,17.0
5,5,FGS,5163,0.10476994514465332,5,0.6,0.4,0.6,0.2,0.2,0.2,8.0,10.0,17.0
5,5,FGS,2406,0.10556149482727051,5,0.6,0.4,0.6,0.4,0.4,0.4,7.0,11.0,18.0
5,5,FGS,304,0.1049489974975586,5,0.6,0.4,0.6,0.2,0.2,0.2,7.0,9.0,14.0
5,5,FGS,3391,0.1042180061340332,4,0.5,0.4,0.4,0.0,0.0,,6.0,9.0,16.0
5,5,FGS,359,0.10393953323364258,4,0.25,0.6,0.2,0.75,0.6,0.6667,5.0,5.0,10.0
5,5,FGS,9096,0.10747456550598145,5,0.6,0.4,0.6,0.4,0.4,0.4,8.0,4.0,7.0
5,5,FGS,3533,0.10856246948242188,3,0.3333,0.4,0.2,0.3333,0.2,0.25,5.0,7.0,12.0
5,5,FGS,4125,0.12841248512268066,5,0.0,1.0,0.0,0.2,0.2,0.2,2.0,5.0,18.0
5,5,FGS,3094,0.10657596588134766,5,0.8,0.2,0.8,0.2,0.2,0.2,9.0,7.0,7.0
5,5,FGS,6398,0.1036539077758789,4,1.0,0.0,0.8,0.0,0.0,,8.0,12.0,16.0
6,6,FGS,7816,0.11313724517822266,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,9.0,22.0,29.0
6,6,FGS,3578,0.11224174499511719,6,0.5,0.5,0.3333,0.3333,0.3333,0.3333,9.0,8.0,16.0
6,6,FGS,2656,0.11503839492797852,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,7.0,4.0,19.0
6,6,FGS,2688,0.1142892837524414,7,0.8571,0.1667,0.6667,0.1429,0.1667,0.1538,11.0,7.0,12.0
6,6,FGS,2494,0.11224842071533203,5,0.6,0.3333,0.3333,0.0,0.0,,9.0,8.0,17.0
6,6,FGS,183,0.10925602912902832,4,0.75,0.1667,0.3333,0.0,0.0,,8.0,16.0,21.0
6,6,FGS,7977,0.10746097564697266,4,0.5,0.3333,0.2222,0.25,0.1667,0.2,7.0,8.0,10.0
6,6,FGS,3199,0.1080465316772461,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,7.0,7.0,7.0
6,6,FGS,316,0.1112520694732666,6,0.5,0.5,0.3333,0.3333,0.3333,0.3333,8.0,9.0,15.0
6,6,FGS,8266,0.1089620590209961,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,10.0,13.0,18.0
6,6,FGS,1532,0.10841727256774902,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,10.0,8.0,8.0
6,6,FGS,1009,0.13179659843444824,4,0.25,0.5,0.1111,0.25,0.1667,0.2,5.0,6.0,19.0
6,6,FGS,2250,0.11159062385559082,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,5.0,10.0
6,6,FGS,4447,0.11279129981994629,6,1.0,0.0,0.6667,0.0,0.0,,10.0,22.0,30.0
6,6,FGS,2415,0.10854911804199219,4,0.25,0.5,0.1111,0.5,0.3333,0.4,5.0,7.0,17.0
6,6,FGS,3595,0.11094021797180176,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,17.0,17.0
6,6,FGS,4187,0.10819625854492188,5,1.0,0.0,0.5556,0.0,0.0,,10.0,23.0,24.0
6,6,FGS,4135,0.11138653755187988,5,0.4,0.5,0.2222,0.2,0.1667,0.1818,5.0,17.0,23.0
6,6,FGS,5174,0.1117708683013916,5,0.6,0.3333,0.3333,0.0,0.0,,8.0,9.0,20.0
6,6,FGS,5303,0.10702204704284668,4,0.5,0.3333,0.2222,0.0,0.0,,8.0,16.0,24.0
6,6,FGS,3942,0.10950422286987305,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,9.0,21.0,22.0
6,6,FGS,2778,0.10865974426269531,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,9.0,13.0
6,6,FGS,2804,0.11103963851928711,6,0.1667,0.8333,0.1111,0.3333,0.3333,0.3333,2.0,4.0,20.0
6,6,FGS,2145,0.10793185234069824,4,0.25,0.5,0.1111,0.75,0.5,0.6,5.0,13.0,21.0
6,6,FGS,150,0.1341571807861328,5,0.6,0.3333,0.3333,0.2,0.1667,0.1818,8.0,12.0,18.0
6,6,FGS,8823,0.11034917831420898,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,9.0,7.0,14.0
6,6,FGS,4669,0.10941886901855469,6,0.5,0.5,0.3333,0.5,0.5,0.5,7.0,8.0,13.0
6,6,FGS,6131,0.11195921897888184,6,0.6667,0.3333,0.4444,0.1667,0.1667,0.1667,9.0,8.0,18.0
6,6,FGS,2617,0.10927104949951172,6,0.5,0.5,0.3333,0.5,0.5,0.5,7.0,10.0,16.0
6,6,FGS,7166,0.11441159248352051,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,11.0,11.0
6,6,FGS,1428,0.11113595962524414,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,7.0,15.0,22.0
6,6,FGS,8328,0.10840106010437012,5,1.0,0.0,0.5556,0.0,0.0,,10.0,26.0,27.0
6,6,FGS,8289,0.11055397987365723,5,0.2,0.6667,0.1111,0.4,0.3333,0.3636,6.0,10.0,20.0
6,6,FGS,5978,0.10811495780944824,4,1.0,0.0,0.4444,0.0,0.0,,9.0,12.0,12.0
6,6,FGS,5511,0.10962796211242676,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,8.0,10.0,16.0
6,6,FGS,5864,0.10864973068237305,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,10.0,15.0,21.0
6,6,FGS,606,0.10882782936096191,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,9.0,15.0
6,6,FGS,1933,0.13746023178100586,6,0.8333,0.1667,0.5556,0.0,0.0,,9.0,16.0,27.0
6,6,FGS,6071,0.11117243766784668,6,0.8333,0.1667,0.5556,0.1667,0.1667,0.1667,9.0,15.0,15.0
6,6,FGS,5504,0.11231374740600586,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,14.0,26.0
6,6,FGS,5163,0.11152100563049316,5,0.6,0.3333,0.3333,0.2,0.1667,0.1818,9.0,13.0,14.0
6,6,FGS,2406,0.10749673843383789,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,10.0,14.0,20.0
6,6,FGS,304,0.11151480674743652,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,8.0,10.0,10.0
6,6,FGS,3391,0.10887503623962402,5,0.6,0.3333,0.3333,0.0,0.0,,8.0,14.0,21.0
6,6,FGS,359,0.12090325355529785,5,0.6,0.3333,0.3333,0.2,0.1667,0.1818,8.0,15.0,23.0
6,6,FGS,9096,0.11410355567932129,7,0.7143,0.3333,0.5556,0.2857,0.3333,0.3077,10.0,10.0,10.0
